"Date","Price","Open","High","Low","Vol.","Change %"
"03/24/2024","9.369","8.986","9.423","8.966","9.54M","4.26%"
"03/23/2024","8.986","8.925","9.211","8.866","9.29M","0.69%"
"03/22/2024","8.925","9.178","9.351","8.711","16.48M","-2.75%"
"03/21/2024","9.178","9.479","9.573","9.096","20.63M","-3.22%"
"03/20/2024","9.483","8.780","9.545","8.516","34.55M","8.01%"
"03/19/2024","8.780","9.905","9.971","8.620","41.74M","-11.36%"
"03/18/2024","9.905","10.074","10.435","9.639","26.73M","-1.68%"
"03/17/2024","10.074","9.679","10.236","9.246","25.90M","3.99%"
"03/16/2024","9.688","10.820","10.876","9.521","38.53M","-10.59%"
"03/15/2024","10.836","11.554","11.691","10.133","57.89M","-6.22%"
"03/14/2024","11.554","11.324","11.837","10.738","57.79M","2.03%"
"03/13/2024","11.324","10.738","11.324","10.646","33.69M","5.46%"
"03/12/2024","10.738","11.048","11.119","10.188","33.78M","-2.80%"
"03/11/2024","11.047","10.264","11.227","9.881","41.83M","7.63%"
"03/10/2024","10.264","10.499","10.556","10.000","20.93M","-2.24%"
"03/09/2024","10.499","10.638","10.940","10.426","25.87M","-1.31%"
"03/08/2024","10.639","10.408","10.690","10.027","16.68M","2.22%"
"03/07/2024","10.408","10.515","10.967","10.259","33.33M","-1.03%"
"03/06/2024","10.516","9.330","10.546","8.959","47.17M","12.81%"
"03/05/2024","9.322","9.871","10.734","8.563","85.30M","-5.57%"
"03/04/2024","9.871","9.782","10.294","9.645","56.18M","0.91%"
"03/03/2024","9.782","9.456","9.878","8.768","62.07M","3.45%"
"03/02/2024","9.456","8.664","9.456","8.616","34.79M","9.12%"
"03/01/2024","8.665","8.259","8.668","8.259","67.74M","4.92%"
"02/29/2024","8.259","8.345","8.885","8.059","30.78M","-1.03%"
"02/28/2024","8.345","8.363","8.597","7.837","37.65M","-0.23%"
"02/27/2024","8.364","8.113","8.440","8.035","80.26M","3.10%"
"02/26/2024","8.113","7.922","8.113","7.585","17.05M","2.41%"
"02/25/2024","7.922","7.821","7.937","7.681","8.85M","1.31%"
"02/24/2024","7.820","7.565","7.885","7.437","19.01M","3.44%"
"02/23/2024","7.560","7.479","7.640","7.277","7.14M","1.08%"
"02/22/2024","7.479","7.471","7.672","7.288","12.60M","0.11%"
"02/21/2024","7.471","7.733","7.733","7.260","16.73M","-3.40%"
"02/20/2024","7.734","8.019","8.105","7.473","24.66M","-3.55%"
"02/19/2024","8.019","7.851","8.134","7.668","20.67M","2.14%"
"02/18/2024","7.851","7.705","7.909","7.694","9.45M","1.89%"
"02/17/2024","7.705","7.652","7.705","7.352","10.21M","0.70%"
"02/16/2024","7.651","7.778","7.861","7.557","19.79M","-1.61%"
"02/15/2024","7.777","7.650","7.940","7.545","62.43M","1.65%"
"02/14/2024","7.651","7.353","7.707","7.278","88.35M","4.05%"
"02/13/2024","7.353","7.338","7.445","7.158","14.71M","0.20%"
"02/12/2024","7.338","7.096","7.368","6.995","16.79M","3.42%"
"02/11/2024","7.096","7.201","7.331","7.081","10.50M","-1.46%"
"02/10/2024","7.201","7.192","7.286","7.067","8.34M","0.12%"
"02/09/2024","7.193","7.015","7.303","6.961","16.72M","2.53%"
"02/08/2024","7.015","6.941","7.102","6.874","14.01M","1.08%"
"02/07/2024","6.940","6.805","6.960","6.676","19.75M","1.98%"
"02/06/2024","6.805","6.735","6.828","6.651","8.21M","1.05%"
"02/05/2024","6.735","6.667","6.969","6.603","10.25M","1.01%"
"02/04/2024","6.667","6.827","6.827","6.664","11.47M","-2.34%"
"02/03/2024","6.827","6.943","7.008","6.823","5.58M","-1.67%"
"02/02/2024","6.943","6.792","7.022","6.770","9.63M","2.23%"
"02/01/2024","6.792","6.654","6.812","6.561","9.67M","2.06%"
"01/31/2024","6.654","6.833","6.884","6.600","13.33M","-2.61%"
"01/30/2024","6.833","7.038","7.076","6.827","14.68M","-2.91%"
"01/29/2024","7.038","6.863","7.288","6.715","25.93M","2.66%"
"01/28/2024","6.856","6.669","6.856","6.579","12.70M","2.80%"
"01/27/2024","6.669","6.670","6.734","6.541","9.44M","0.00%"
"01/26/2024","6.669","6.437","6.726","6.362","13.18M","3.62%"
"01/25/2024","6.437","6.461","6.567","6.351","8.42M","-0.38%"
"01/24/2024","6.461","6.363","6.542","6.264","10.17M","1.54%"
"01/23/2024","6.363","6.342","6.454","5.985","15.68M","0.33%"
"01/22/2024","6.342","6.815","6.848","6.306","17.46M","-6.95%"
"01/21/2024","6.815","6.910","6.973","6.806","5.57M","-1.37%"
"01/20/2024","6.910","6.895","6.950","6.781","6.58M","0.21%"
"01/19/2024","6.895","7.012","7.051","6.575","12.92M","-1.66%"
"01/18/2024","7.012","7.348","7.389","6.843","13.64M","-4.57%"
"01/17/2024","7.348","7.490","7.597","7.262","29.92M","-1.90%"
"01/16/2024","7.490","7.508","7.675","7.342","9.21M","-0.24%"
